article,nomen,plural,english,learned_count
das, Team, Teams, team,0
das, Projekt, Projekte, project,0
das, Ziel, Ziele, goal,0
die, Verantwortung, Verantwortungen, responsibility,0
der, Erfolg, Erfolge, success,0
der, Misserfolg, Misserfolge, failure,0
der, Lohn, Löhne, wage,0
das, Gehalt, Gehälter, salary,0
der, Vertrag, Verträge, contract,0
die, Teilzeit, -, part-time,0
die, Vollzeit, -, full-time,0
die, Überstunde, Überstunden, overtime hour,0
die, Rente, Renten, pension,0
der, Rentner, Rentner, retiree (male),0
die, Rentnerin, Rentnerinnen, retiree (female),0
die, Kündigung, Kündigungen, resignation/dismissal,0
die, Entlassung, Entlassungen, dismissal,0
der, Arbeitsloser, Arbeitslose, unemployed person (male),0
die, Arbeitslose, Arbeitslosen, unemployed person (female),0
die, Arbeitslosigkeit, -, unemployment,0
das, Arbeitsamt, Arbeitsämter, labor office,0
die, Behörde, Behörden, authority/agency,0
der, Beamte, Beamten, civil servant (male),0
die, Beamtin, Beamtinnen, civil servant (female),0
das, Büro, Büros, office,0
das, Gebäude, Gebäude, building,0
das, Stockwerk, Stockwerke, floor/storey,0
der, Raum, Räume, room/space,0
der, Computer, Computer, computer,0
der, Bildschirm, Bildschirme, screen/monitor,0
die, Tastatur, Tastaturen, keyboard,0
die, Maus, Mäuse, mouse (device),0
der, Drucker, Drucker, printer,0
das, Papier, Papiere, paper,0
der, Ordner, Ordner, folder/binder,0
der, Stempel, Stempel, stamp,0
die, Unterschrift, Unterschriften, signature,0
die, Akte, Akten, file (physical),0
das, Dokument, Dokumente, document,0
der, Brief, Briefe, letter,0
die, E-Mail, E-Mails, email,0
das, Telefon, Telefone, telephone,0
der, Anruf, Anrufe, phone call,0
die, Nachricht, Nachrichten, message,0
die, Mitteilung, Mitteilungen, note/communication,0
der, Kopierer, Kopierer, copier,0
das, Fax, Faxe, fax,0
der, Termin, Termine, appointment/meeting,0
die, Besprechung, Besprechungen, meeting,0
die, Konferenz, Konferenzen, conference,0
das, Protokoll, Protokolle, protocol/record,0
die, Pause, Pausen, break/pause,0
die, Kantine, Kantinen, canteen,0
die, Küche, Küchen, kitchen,0
das, Werkzeug, Werkzeuge, tool,0
der, Hammer, Hämmer, hammer,0
der, Nagel, Nägel, nail,0
die, Schraube, Schrauben, screw,0
der, Schraubenzieher, Schraubenzieher, screwdriver,0
der, Bohrer, Bohrer, drill,0
der, Stecker, Stecker, plug,0
die, Steckdose, Steckdosen, socket,0
das, Kabel, Kabel, cable,0
die, Lampe, Lampen, lamp,0
der, Schalter, Schalter, switch,0
der, Mechaniker, Mechaniker, mechanic (male),0
die, Mechanikerin, Mechanikerinnen, mechanic (female),0
der, Handwerker, Handwerker, tradesman/craftsman (male),0
die, Handwerkerin, Handwerkerinnen, tradeswoman/craftswoman,0
der, Ingenieur, Ingenieure, engineer (male),0
die, Ingenieurin, Ingenieurinnen, engineer (female),0
der, Techniker, Techniker, technician (male),0
die, Technikerin, Technikerinnen, technician (female),0
der, Fahrer, Fahrer, driver (male),0
die, Fahrerin, Fahrerinnen, driver (female),0
der, Polizist, Polizisten, policeman,0
die, Polizistin, Polizistinnen, policewoman,0
der, Arzt, Ärzte, doctor (male),0
die, Ärztin, Ärztinnen, doctor (female),0
der, Lehrer, Lehrer, teacher (male),0
die, Lehrerin, Lehrerinnen, teacher (female),0
der, Verkäufer, Verkäufer, salesperson (male),0
die, Verkäuferin, Verkäuferinnen, salesperson (female),0
der, Friseur, Friseure, hairdresser (male),0
die, Friseurin, Friseurinnen, hairdresser (female),0
der, Bäcker, Bäcker, baker (male),0
die, Bäckerin, Bäckerinnen, baker (female),0
der, Metzger, Metzger, butcher (male),0
die, Metzgerin, Metzgerinnen, butcher (female),0
der, Koch, Köche, cook/chef (male),0
die, Köchin, Köchinnen, cook/chef (female),0
der, Kellner, Kellner, waiter,0
die, Kellnerin, Kellnerinnen, waitress,0
der, Tischler, Tischler, carpenter (male),0
die, Tischlerin, Tischlerinnen, carpenter (female),0
der, Maler, Maler, painter (male),0
die, Malerin, Malerinnen, painter (female),0
das, Geld, -, money,0
der, Euro, Euro, euro,0
der, Cent, Cent, cent,0
die, Münze, Münzen, coin,0
der, Schein, Scheine, (bank) note,0
das, Portemonnaie, Portemonnaies, wallet,0
die, Rechnung, Rechnungen, bill/invoice,0
die, Quittung, Quittungen, receipt,0
der, Preis, Preise, price,0
das, Angebot, Angebote, offer,0
die, Kreditkarte, Kreditkarten, credit card,0
das, Konto, Konten, account,0
der, Geldautomat, Geldautomaten, ATM,0
das, Fernsehen, -, television (broadcast),0
der, Fernseher, Fernseher, television (device),0
das, Radio, Radios, radio,0
die, Sendung, Sendungen, program/show,0
der, Film, Filme, movie/film,0
der, Spielfilm, Spielfilme, feature film,0
der, Zeichentrickfilm, Zeichentrickfilme, cartoon,0
die, Serie, Serien, series,0
die, Nachrichten, -, news,0
der, Bericht, Berichte, report,0
die, Zeitung, Zeitungen, newspaper,0
die, Zeitschrift, Zeitschriften, magazine,0
der, Artikel, Artikel, article,0
das, Buch, Bücher, book,0
das, Wörterbuch, Wörterbücher, dictionary,0
der, Roman, Romane, novel,0
die, Geschichte, Geschichten, story/history,0
das, Gedicht, Gedichte, poem,0
die, Bibliothek, Bibliotheken, library,0
die, Musik, -, music,0
das, Lied, Lieder, song,0
die, CD, CDs, CD,0
die, DVD, DVDs, DVD,0
die, Schallplatte, Schallplatten, vinyl record,0
der, Sänger, Sänger, singer (male),0
die, Sängerin, Sängerinnen, singer (female),0
die, Band, Bands, band,0
das, Konzert, Konzerte, concert,0
das, Theater, Theater, theater,0
das, Musical, Musicals, musical,0
der, Schauspieler, Schauspieler, actor (male),0
die, Schauspielerin, Schauspielerinnen, actress,0
die, Bühne, Bühnen, stage,0
die, Ausstellung, Ausstellungen, exhibition,0
das, Museum, Museen, museum,0
die, Kunst, Künste, art,0
der, Künstler, Künstler, artist (male),0
die, Künstlerin, Künstlerinnen, artist (female),0
das, Foto, Fotos, photo,0
der, Fotograf, Fotografen, photographer (male),0
die, Fotografin, Fotografinnen, photographer (female),0
die, Kamera, Kameras, camera,0
das, Handy, Handys, mobile phone,0
das, Smartphone, Smartphones, smartphone,0
das, Telefon, Telefone, telephone,0
der, Anruf, Anrufe, phone call,0
der, Anrufbeantworter, Anrufbeantworter, answering machine,0
die, E-Mail, E-Mails, email,0
die, SMS, SMS, text message,0
der, Brief, Briefe, letter,0
die, Post, Posten, mail,0
die, Adresse, Adressen, address,0
die, Nummer, Nummern, number,0
die, Nachricht, Nachrichten, message/news,0
das, Gespräch, Gespräche, conversation,0
die, Unterhaltung, Unterhaltungen, entertainment/conversation,0
die, Einladung, Einladungen, invitation,0
der, Besuch, Besuche, visit/visitor,0
das, Treffen, Treffen, meeting/gathering,0
die, Gruppe, Gruppen, group,0
die, Party, Partys, party,0
das, Fest, Feste, celebration/festival,0
der, Gastgeber, Gastgeber, host (male),0
die, Gastgeberin, Gastgeberinnen, host (female),0
der, Gast, Gäste, guest,0
das, Spiel, Spiele, game,0
das, Computerspiel, Computerspiele, computer game,0
das, Brettspiel, Brettspiele, board game,0
das, Puzzle, Puzzles, puzzle,0
die, Karte, Karten, card/map/ticket,0
der, Ball, Bälle, ball,0
die, Sportart, Sportarten, kind of sport,0
der, Sport, -, sport,0
das, Training, Trainings, training,0
der, Wettkampf, Wettkämpfe, competition,0
der, Spieler, Spieler, player (male),0
die, Spielerin, Spielerinnen, player (female),0
das, Team, Teams, team,0
der, Verein, Vereine, club/association,0
der, Fan, Fans, fan (supporter),0
das, Hobby, Hobbys, hobby,0
die, Freizeit, -, free time,0
das, Schwimmbad, Schwimmbäder, swimming pool,0
das, Stadion, Stadien, stadium,0
das, Fitnessstudio, Fitnessstudios, gym/fitness center,0
der, Zoo, Zoos, zoo,0
der, Park, Parks, park,0
die, Wanderung, Wanderungen, hiking tour,0
die, Radtour, Radtouren, bike trip,0
das, Picknick, Picknicks, picnic,0
die, Reise, Reisen, journey/travel,0
der, Ausflug, Ausflüge, excursion,0
der, Urlaub, Urlaube, holiday/vacation,0
die, Kamera, Kameras, camera,0
der, Computer, Computer, computer,0
der, Laptop, Laptops, laptop,0
das, Tablet, Tablets, tablet,0
das, Programm, Programme, program (computer/TV/event),0
die, Software, Softwares, software,0
die, Datei, Dateien, file,0
der, Drucker, Drucker, printer,0
die, Tastatur, Tastaturen, keyboard,0
die, Maus, Mäuse, mouse (device),0
der, Bildschirm, Bildschirme, display/monitor,0
das, Internet, -, internet,0
die, Website, Websites, website,0
die, Verbindung, Verbindungen, connection,0
das, Passwort, Passwörter, password,0
der, Benutzername, Benutzernamen, username,0
der, USB-Stick, USB-Sticks, USB stick,0
das, Kabel, Kabel, cable,0
die, Steckdose, Steckdosen, socket,0
der, Akku, Akkus, battery (rechargeable),0
die, Batterie, Batterien, battery,0
die, Regierung, Regierungen, government,0
der, Staat, Staaten, state/country,0
das, Land, Länder, country,0
die, Hauptstadt, Hauptstädte, capital,0
die, Stadt, Städte, city,0
das, Dorf, Dörfer, village,0
die, Politik, Politiken, politics/policy,0
die, Partei, Parteien, (political) party,0
das, Parlament, Parlamente, parliament,0
das, Gesetz, Gesetze, law,0
die, Wahl, Wahlen, election/vote,0
die, Polizei, Polizeien, police,0
die, Feuerwehr, Feuerwehren, fire brigade,0
das, Gericht, Gerichte, court,0
der, Richter, Richter, judge (male),0
die, Richterin, Richterinnen, judge (female),0
der, Anwalt, Anwälte, lawyer (male),0
die, Anwältin, Anwältinnen, lawyer (female),0
der, Bürger, Bürger, citizen (male),0
die, Bürgerin, Bürgerinnen, citizen (female),0
die, Gesellschaft, Gesellschaften, society,0
die, Gemeinschaft, Gemeinschaften, community,0
die, Bevölkerung, Bevölkerungen, population,0
die, Minderheit, Minderheiten, minority,0
die, Mehrheit, Mehrheiten, majority,0
die, Gleichberechtigung, -, equality,0
die, Freiheit, Freiheiten, freedom,0
die, Gerechtigkeit, Gerechtigkeiten, justice,0
das, Recht, Rechte, right/law,0
die, Pflicht, Pflichten, duty,0
die, Verantwortung, Verantwortungen, responsibility,0
die, Meinung, Meinungen, opinion/view,0
die, Diskussion, Diskussionen, discussion,0
die, Versammlung, Versammlungen, assembly/gathering,0
die, Organisation, Organisationen, organization,0
der, Verein, Vereine, club/society,0
das, Mitglied, Mitglieder, member,0
die, Initiative, Initiativen, initiative,0
das, Projekt, Projekte, project,0
das, Fest, Feste, festival,0
die, Feier, Feiern, celebration,0
das, Ereignis, Ereignisse, event,0
die, Tradition, Traditionen, tradition,0
der, Brauch, Bräuche, custom,0
der, Feiertag, Feiertage, holiday,0
der, Jahrestag, Jahrestage, anniversary,0
das, Weihnachten, -, Christmas,0
das, Ostern, -, Easter,0
das, Neujahr, -, New Year,0
der, Geburtstag, Geburtstage, birthday,0
die, Hochzeit, Hochzeiten, wedding,0
die, Taufe, Taufen, baptism,0
die, Beerdigung, Beerdigungen, funeral,0
die, Einladung, Einladungen, invitation,0
das, Geschenk, Geschenke, present/gift,0
die, Überraschung, Überraschungen, surprise,0
das, Leben, Leben, life,0
die, Geburt, Geburten, birth,0
der, Tod, Tode, death,0
die, Kindheit, -, childhood,0
die, Jugend, -, youth,0
das, Alter, -, age/old age,0
die, Zukunft, Zukünfte, future,0
die, Vergangenheit, Vergangenheiten, past,0
die, Gegenwart, -, present (time),0
die, Hoffnung, Hoffnungen, hope,0
die, Angst, Ängste, fear,0
die, Freude, Freuden, joy,0
die, Traurigkeit, -, sadness,0
der, Ärger, -, annoyance/anger,0
der, Mut, -, courage,0
die, Geduld, -, patience,0
die, Liebe, Lieben, love,0
der, Streit, Streite, argument,0
die, Freundschaft, Freundschaften, friendship,0
die, Lüge, Lügen, lie (falsehood),0
die, Wahrheit, Wahrheiten, truth,0
der, Traum, Träume, dream,0
das, Ziel, Ziele, goal/aim,0
die, Idee, Ideen, idea,0
der, Plan, Pläne, plan,0
die, Lösung, Lösungen, solution,0
das, Problem, Probleme, problem,0
das, Beispiel, Beispiele, example,0
die, Hilfe, Hilfen, help,0
die, Gefahr, Gefahren, danger,0
die, Möglichkeit, Möglichkeiten, possibility,0
die, Wahl, Wahlen, choice/election,0
die, Erfahrung, Erfahrungen, experience,0
die, Erinnerung, Erinnerungen, memory,0
das, Verständnis, -, understanding,0
die, Herausforderung, Herausforderungen, challenge,0
die, Voraussetzung, Voraussetzungen, prerequisite/requirement,0
das, Verhalten, Verhalten, behavior,0
die, Eigenschaft, Eigenschaften, characteristic/trait,0
die, Fähigkeit, Fähigkeiten, ability/skill,0
die, Leistung, Leistungen, achievement/performance,0
die, Entwicklung, Entwicklungen, development,0
das, Ergebnis, Ergebnisse, result/outcome,0
der, Zusammenhang, Zusammenhänge, context/connection,0
die, Ursache, Ursachen, cause,0
die, Wirkung, Wirkungen, effect,0
die, Folge, Folgen, consequence,0
die, Tatsache, Tatsachen, fact,0
das, Ereignis, Ereignisse, event/incident,0
das, Risiko, Risiken, risk,0
die, Anforderung, Anforderungen, demand/requirement,0
die, Bedingung, Bedingungen, condition,0
die, Zustimmung, Zustimmungen, approval,0
der, Widerspruch, Widersprüche, contradiction/objection,0
die, Verantwortung, Verantwortungen, responsibility,0
der, Beitrag, Beiträge, contribution,0
die, Unterstützung, Unterstützungen, support/assistance,0
die, Beratung, Beratungen, consulting/advising,0
die, Erfahrung, Erfahrungen, experience,0
die, Schulung, Schulungen, training,0
die, Fortbildung, Fortbildungen, advanced training,0
die, Weiterbildung, Weiterbildungen, further education,0
das, Studium, Studien, university studies,0
die, Wissenschaft, Wissenschaften, science/academic discipline,0
die, Forschung, Forschungen, research,0
die, Erkenntnis, Erkenntnisse, insight/knowledge,0
die, Untersuchung, Untersuchungen, investigation/study,0
die, Erhebung, Erhebungen, survey/data collection,0
die, Statistik, Statistiken, statistics,0
die, Umfrage, Umfragen, survey/poll,0
die, These, Thesen, thesis,0
die, Meinung, Meinungen, opinion,0
die, Ansicht, Ansichten, opinion/view,0
die, Einschätzung, Einschätzungen, assessment/evaluation,0
die, Behauptung, Behauptungen, assertion/claim,0
das, Argument, Argumente, argument,0
die, Debatte, Debatten, debate,0
die, Diskussion, Diskussionen, discussion,0
die, Rede, Reden, speech,0
die, Einladung, Einladungen, invitation,0
der, Vorschlag, Vorschläge, proposal/suggestion,0
der, Hinweis, Hinweise, hint/clue,0
die, Information, Informationen, information,0
die, Mitteilung, Mitteilungen, communication/message,0
der, Beitrag, Beiträge, contribution/post (online),0
die, Veröffentlichung, Veröffentlichungen, publication/release,0
der, Bericht, Berichte, report,0
das, Interview, Interviews, interview,0
die, Presse, -, press/media,0
die, Nachrichten, -, news,0
die, Medien, -, media,0
die, Zeitschrift, Zeitschriften, magazine,0
das, Medium, Medien, medium,0
die, Werbung, Werbungen, advertisement,0
die, Sendung, Sendungen, program/broadcast,0
die, Zeile, Zeilen, line (writing),0
die, Quelle, Quellen, source,0
die, Tabelle, Tabellen, table/chart,0
die, Grafik, Grafiken, graphic,0
das, Bild, Bilder, picture,0
die, Darstellung, Darstellungen, portrayal/presentation,0
der, Zusammenhang, Zusammenhänge, context,0
die, Meinung, Meinungen, opinion,0
das, Netzwerk, Netzwerke, network,0
die, Verbindung, Verbindungen, connection/link,0
die, Beziehung, Beziehungen, relationship,0
das, Verhältnis, Verhältnisse, relationship/ratio,0
die, Gesellschaft, Gesellschaften, society/company,0
die, Bevölkerung, Bevölkerungen, population,0
die, Minderheit, Minderheiten, minority,0
die, Mehrheit, Mehrheiten, majority,0
die, Demokratie, Demokratien, democracy,0
die, Diktatur, Diktaturen, dictatorship,0
die, Freiheit, Freiheiten, freedom/liberty,0
die, Gerechtigkeit, Gerechtigkeiten, justice,0
die, Ungerechtigkeit, Ungerechtigkeiten, injustice,0
die, Armut, -, poverty,0
der, Wohlstand, -, prosperity,0
die, Gewalt, -, violence,0
die, Bedrohung, Bedrohungen, threat,0
die, Straftat, Straftaten, crime,0
das, Opfer, Opfer, victim,0
der, Täter, Täter, perpetrator/offender,0
die, Polizei, Polizeien, police,0
das, Gericht, Gerichte, court,0
der, Richter, Richter, judge (male),0
die, Richterin, Richterinnen, judge (female),0
der, Zeuge, Zeugen, witness (male),0
die, Zeugin, Zeuginnen, witness (female),0
der, Anwalt, Anwälte, lawyer (male),0
die, Anwältin, Anwältinnen, lawyer (female),0
die, Strafe, Strafen, penalty/punishment,0
die, Vorschrift, Vorschriften, regulation,0
das, Gesetz, Gesetze, law,0
die, Politik, -, politics,0
der, Politiker, Politiker, politician (male),0
die, Politikerin, Politikerinnen, politician (female),0
die, Regierung, Regierungen, government,0
das, Parlament, Parlamente, parliament,0
die, Wahl, Wahlen, election/vote,0
die, Abstimmung, Abstimmungen, ballot/vote,0
die, Wirtschaft, -, economy,0
das, Unternehmen, Unternehmen, company/business,0
der, Betrieb, Betriebe, business/operation,0
die, Branche, Branchen, sector/industry,0
das, Gewerbe, Gewerbe, trade/business,0
die, Produktion, Produktionen, production,0
der, Handel, -, trade/business,0
der, Export, Exporte, export,0
der, Import, Importe, import,0
die, Dienstleistung, Dienstleistungen, service,0
die, Nachfrage, Nachfragen, demand/request,0
das, Angebot, Angebote, supply/offer,0
der, Umsatz, Umsätze, turnover/sales,0
der, Gewinn, Gewinne, profit,0
der, Verlust, Verluste, loss,0
die, Steuer, Steuern, tax,0
die, Subvention, Subventionen, subsidy,0
der, Verbraucher, Verbraucher, consumer (male),0
die, Verbraucherin, Verbraucherinnen, consumer (female),0
die, Lieferung, Lieferungen, delivery,0
die, Bestellung, Bestellungen, order,0
der, Vertrag, Verträge, contract,0
die, Bedingung, Bedingungen, condition,0
das, Risiko, Risiken, risk,0
die, Genehmigung, Genehmigungen, permit,0
die, Anerkennung, Anerkennungen, recognition/appreciation,0
die, Störung, Störungen, disturbance/interference,0
die, Verbesserung, Verbesserungen, improvement,0
die, Veränderung, Veränderungen, change/shift,0
die, Verschlechterung, Verschlechterungen, deterioration,0
das, Wachstum, -, growth,0
die, Zunahme, Zunahmen, increase (abstract),0
die, Abnahme, Abnahmen, decrease (abstract),0
der, Mangel, Mängel, deficiency/lack,0
der, Vorteil, Vorteile, advantage,0
der, Nachteil, Nachteile, disadvantage,0
die, Schwierigkeit, Schwierigkeiten, difficulty,0
die, Möglichkeit, Möglichkeiten, possibility,0
die, Gelegenheit, Gelegenheiten, opportunity,0
die, Erlaubnis, Erlaubnisse, permission,0
der, Bedarf, Bedürfnisse, need/requirement,0
die, Pflicht, Pflichten, duty/obligation,0
das, Recht, Rechte, right (law),0
das, Verbot, Verbote, prohibition,0
die, Zustimmung, Zustimmungen, approval/consent,0
die, Ablehnung, Ablehnungen, rejection/refusal,0
die, Absage, Absagen, rejection/decline,0
die, Nachfrage, Nachfragen, demand (economic),0
die, Nachfrage, Nachfragen, inquiry,0
die, Vereinbarung, Vereinbarungen, agreement,0
die, Absprache, Absprachen, arrangement/consultation,0
die, Verantwortung, Verantwortungen, responsibility,0
das, Ziel, Ziele, target/goal,0
die, Aufgabe, Aufgaben, assignment/task,0
die, Maßnahme, Maßnahmen, measure/action,0
das, Verfahren, Verfahren, procedure/process,0
die, Methode, Methoden, method,0
die, Technik, Techniken, technology,0
die, Technologie, Technologien, technology,0
die, Entwicklung, Entwicklungen, development,0
die, Strömung, Strömungen, current/trend (also water),0
das, Gerät, Geräte, device/appliance,0
der, Schalter, Schalter, switch/counter,0
die, Steckdose, Steckdosen, socket,0
der, Stecker, Stecker, plug,0
der, Draht, Drähte, wire,0
das, Blei, -, lead (metal),0
der, Kunststoff, Kunststoffe, plastic,0
die, Chemie, -, chemistry,0
die, Biologie, -, biology,0
die, Physik, -, physics,0
die, Genetik, -, genetics,0
die, Forschung, Forschungen, research,0
das, Experiment, Experimente, experiment,0
die, Wissenschaft, Wissenschaften, science,0
das, Labor, Labors, laboratory,0
die, Zelle, Zellen, cell (biology),0
das, Gen, Gene, gene,0
die, Umwelt, -, environment,0
die, Umweltverschmutzung, -, pollution,0
der, Müll, -, waste/garbage,0
das, Recycling, -, recycling,0
die, Abfallbeseitigung, -, waste disposal,0
die, Erderwärmung, -, global warming,0
der, Klimawandel, -, climate change,0
der, Treibhauseffekt, Treibhauseffekte, greenhouse effect,0
der, Rohstoff, Rohstoffe, raw material/resource,0
die, Energie, Energien, energy,0
die, Solarenergie, -, solar energy,0
die, Windenergie, -, wind energy,0
die, Kernenergie, -, nuclear energy,0
die, Ressource, Ressourcen, resource,0
das, Reservoir, Reservoire, reservoir,0
der, Strom, Ströme, electricity/current,0
der, Verkehr, -, traffic,0
der, Treibstoff, Treibstoffe, fuel,0
das, Fahrzeug, Fahrzeuge, vehicle,0
der, Transport, Transporte, transport,0
der, Lärm, -, noise,0
die, Reduzierung, Reduzierungen, reduction,0
die, Erhöhung, Erhöhungen, increase/elevation,0
der, Schutz, -, protection,0
die, Gefahr, Gefahren, danger/hazard,0
die, Katastrophe, Katastrophen, disaster,0
das, Leben, Leben, life,0
die, Gesellschaft, Gesellschaften, society,0
die, Kultur, Kulturen, culture,0
die, Bildung, Bildungen, education,0
die, Weiterbildung, Weiterbildungen, further education,0
der, Unterricht, -, instruction/lesson,0
die, Schule, Schulen, school,0
das, Studium, Studien, degree studies,0
die, Universität, Universitäten, university,0
die, Hochschule, Hochschulen, college of higher ed.,0
der, Abschluss, Abschlüsse, qualification/degree/certificate,0
die, Sitzung, Sitzungen, meeting/session,0
die, Konferenz, Konferenzen, conference,0
der, Vortrag, Vorträge, lecture/presentation,0
die, Präsentation, Präsentationen, presentation,0
die, Anmeldung, Anmeldungen, registration,0
die, Zertifizierung, Zertifizierungen, certification,0
die, Forschung, Forschungen, research,0
die, Innovation, Innovationen, innovation,0
die, Zusammenarbeit, Zusammenarbeiten, cooperation,0
das, Engagement, Engagements, commitment/involvement,0
die, Integration, Integrationen, integration,0
der, Einfluss, Einflüsse, influence,0
die, Auswirkung, Auswirkungen, effect/impact,0
die, Konsequenz, Konsequenzen, consequence,0
die, Einstellung, Einstellungen, attitude,0
die, Voraussetzung, Voraussetzungen, prerequisite,0
die, Zustimmung, Zustimmungen, approval/consent,0
die, Ablehnung, Ablehnungen, rejection/refusal,0
der, Antrag, Anträge, application/request,0
die, Beratung, Beratungen, consultation/advising,0
die, Initiative, Initiativen, initiative,0
die, Bewegung, Bewegungen, movement,0
die, Stille, -, silence/quiet,0
die, Öffentlichkeit, -, public (noun),0
das, Bewusstsein, -, awareness/consciousness,0
